Product ID,Category,Sub-Category,Product Name
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
TEC-PH-10000455,Technology,Phones,GE 30522EE2
OFF-ST-10003692,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders
TEC-AC-10002217,Technology,Accessories,Imation Clip USB flash drive - 8 GB
TEC-AC-10002942,Technology,Accessories,WD My Passport Ultra 1TB Portable External Hard Drive
TEC-PH-10002890,Technology,Phones,AT&T 17929 Lendline Telephone
FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
OFF-BI-10004364,Office Supplies,Binders,Storex Dura Pro Binders
TEC-CO-10000971,Technology,Copiers,Hewlett Packard 310 Color Digital Copier
OFF-AR-10004078,Office Supplies,Art,Newell 312
OFF-BI-10002026,Office Supplies,Binders,Avery Arch Ring Binders
TEC-AC-10001714,Technology,Accessories,Logitech MX Performance Wireless Mouse
OFF-AR-10003958,Office Supplies,Art,Newell 337
TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural"
OFF-AR-10003696,Office Supplies,Art,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop
FUR-FU-10004270,Furniture,Furnishings,"Executive Impressions 13"" Clairmont Wall Clock"
OFF-PA-10004621,Office Supplies,Paper,Xerox 212
FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3"""
OFF-AR-10001955,Office Supplies,Art,Newell 319
TEC-PH-10004080,Technology,Phones,Avaya 5410 Digital phone
TEC-AC-10000420,Technology,Accessories,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning
TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
FUR-FU-10002445,Furniture,Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7"
FUR-FU-10000076,Furniture,Furnishings,24-Hour Round Wall Clock
TEC-AC-10002335,Technology,Accessories,Logitech Media Keyboard K200
FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back"
OFF-PA-10001166,Office Supplies,Paper,Xerox 2
OFF-PA-10003656,Office Supplies,Paper,Xerox 1935
TEC-PH-10000148,Technology,Phones,Cyber Acoustics AC-202b Speech Recognition Stereo Headset
