RowID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Profit,Payment Mode
4918,CA-2019-160304,01-01-2019,07-01-2019,Standard Class,BM-11575,FUR-BO-10004709,73.94,1,28.2668,Online
4919,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,FUR-BO-10004709,173.94,3,38.2668,Online
4920,CA-2019-160304,02-01-2019,07-01-2019,Standard Class,BM-11575,TEC-PH-10000455,231.98,2,67.2742,Cards
3074,CA-2019-125206,03-01-2019,05-01-2019,First Class,LR-16915,OFF-ST-10003692,114.46,2,28.615,Online
8604,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,TEC-AC-10002217,30.08,2,-5.264,Online
8605,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,TEC-AC-10002942,165.6,3,-6.21,Online
8606,US-2019-116365,03-01-2019,08-01-2019,Standard Class,CA-12310,TEC-PH-10002890,180.96,5,13.572,Cards
9494,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,FUR-TA-10000617,1592.85,7,350.427,COD
9495,CA-2019-105207,03-01-2019,08-01-2019,Standard Class,BO-11350,OFF-BI-10004364,11.88,2,5.346,COD
2898,US-2019-164630,04-01-2019,09-01-2019,Standard Class,EB-13975,TEC-CO-10000971,959.968,4,119.996,Online
5868,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,OFF-AR-10004078,4.672,1,0.584,Online
5869,CA-2019-158211,04-01-2019,08-01-2019,Standard Class,BP-11185,OFF-BI-10002026,104.58,6,-80.178,Online
863,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,TEC-AC-10001714,191.472,6,40.6878,COD
864,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,OFF-AR-10003958,5.248,2,0.5904,Online
865,CA-2019-134474,05-01-2019,07-01-2019,Second Class,AJ-10795,TEC-PH-10002923,59.184,2,5.1786,COD
2162,CA-2019-101938,07-01-2019,12-01-2019,Standard Class,DW-13480,OFF-AR-10003696,34.58,1,10.0282,COD
8031,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,FUR-FU-10004270,23.076,3,-10.9611,COD
8032,CA-2019-158806,07-01-2019,11-01-2019,Standard Class,NM-18520,OFF-PA-10004621,25.92,5,9.072,Cards
6851,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,FUR-BO-10002545,1565.88,6,407.1288,Online
6852,US-2019-100461,08-01-2019,12-01-2019,Standard Class,JO-15145,OFF-BI-10001460,106.05,7,49.8435,Cards
7808,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,OFF-BI-10004236,30.828,7,-24.6624,Cards
7809,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,OFF-AR-10001955,47.616,3,5.952,COD
7810,US-2019-137295,08-01-2019,13-01-2019,Standard Class,VS-21820,TEC-PH-10004080,108.784,2,10.8784,COD
3209,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,TEC-AC-10000420,349.95,5,118.983,COD
3210,CA-2019-108882,09-01-2019,15-01-2019,Standard Class,LA-16780,TEC-PH-10002726,377.928,9,141.723,Cards
3702,CA-2019-126543,09-01-2019,13-01-2019,Second Class,MF-17665,FUR-FU-10002445,15.168,2,3.792,Cards
4667,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,FUR-FU-10000076,79.92,4,34.3656,Cards
4668,CA-2019-116547,10-01-2019,17-01-2019,Standard Class,KB-16585,TEC-AC-10002335,69.98,2,13.2962,COD
6970,CA-2019-163937,10-01-2019,13-01-2019,Second Class,JB-16000,FUR-FU-10000010,24.85,5,7.7035,Cards
1026,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,OFF-PA-10001166,15.552,3,5.4432,Online
1027,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,OFF-PA-10003656,63.312,3,20.5764,Cards
1028,CA-2019-126529,11-01-2019,13-01-2019,Second Class,DE-13255,TEC-PH-10000148,15.588,2,-9.8724,Online
8522,CA-2019-141887,11-01-2019,15-01-2019,Standard Class,MP-17470,FUR-FU-10002268,54.992,14,8.9362,Online
7269,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,OFF-PA-10004039,89.568,2,32.4684,Cards
7270,CA-2019-133368,14-01-2019,20-01-2019,Standard Class,AG-10675,FUR-FU-10003374,315.776,8,31.5776,Online
2878,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,OFF-EN-10003040,52.34,2,24.5998,Cards
2879,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,OFF-AR-10001573,4.66,2,1.3514,COD
2880,CA-2019-152072,15-01-2019,19-01-2019,Standard Class,Dp-13240,TEC-AC-10000844,254.97,3,91.7892,Cards
3236,CA-2019-140746,15-01-2019,15-01-2019,Same Day,RC-19825,FUR-TA-10002903,181.797,1,-15.5826,COD
3742,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,OFF-EN-10001137,16.52,4,7.5992,Online
3743,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,OFF-PA-10004285,60.12,9,28.8576,COD
3744,CA-2019-137848,15-01-2019,21-01-2019,Standard Class,WB-21850,OFF-BI-10002225,49.536,3,17.3376,Cards
5968,CA-2019-166912,15-01-2019,17-01-2019,First Class,BE-11335,OFF-PA-10001033,81.98,2,40.1702,Online
26,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,OFF-BI-10001634,11.648,2,4.2224,Cards
27,CA-2019-121755,16-01-2019,20-01-2019,Second Class,EH-13945,TEC-AC-10003027,90.57,3,11.7741,COD
876,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,FUR-FU-10004017,322.59,3,64.518,COD
877,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,TEC-AC-10003628,29.99,1,13.1956,Online
878,CA-2019-116736,17-01-2019,21-01-2019,Standard Class,CC-12430,TEC-AC-10002049,371.97,3,66.9546,Online
2303,CA-2019-106558,17-01-2019,21-01-2019,Standard Class,DL-13495,TEC-AC-10001142,316.0,4,31.6,Online
2876,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,FUR-CH-10004289,153.568,2,-5.7588,COD
2877,US-2019-167339,21-01-2019,23-01-2019,Second Class,TD-20995,FUR-CH-10000785,1013.488,7,76.0116,COD
268,CA-2019-111010,22-01-2019,28-01-2019,Standard Class,PG-18895,OFF-FA-10003472,7.56,6,0.3024,COD
2471,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,FUR-FU-10002107,14.272,8,4.2816,COD
2472,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,FUR-BO-10002213,451.136,4,-67.6704,COD
2473,US-2019-135923,22-01-2019,28-01-2019,Standard Class,CM-11935,OFF-AP-10000692,64.864,4,6.4864,COD
2694,CA-2019-138079,22-01-2019,28-01-2019,Standard Class,AJ-10795,FUR-FU-10001475,109.9,5,37.366,Online
5675,CA-2019-146318,22-01-2019,27-01-2019,Standard Class,MC-17275,OFF-PA-10003953,12.96,2,6.2208,Online
5752,CA-2019-125850,22-01-2019,28-01-2019,Standard Class,FP-14320,OFF-LA-10003498,44.4,3,22.2,Online
5753,CA-2019-125850,22-01-2019,28-01-2019,Standard Class,FP-14320,OFF-LA-10004484,20.65,5,9.499,Online
6229,CA-2019-148208,22-01-2019,27-01-2019,Standard Class,BT-11530,TEC-PH-10004093,110.376,4,-20.2356,Online
6230,CA-2019-148208,22-01-2019,27-01-2019,Standard Class,BT-11530,TEC-AC-10000171,55.176,3,15.8631,Cards
6238,US-2019-155180,22-01-2019,29-01-2019,Standard Class,TB-21280,OFF-BI-10004506,26.336,4,9.2176,Online
7294,CA-2019-113656,23-01-2019,29-01-2019,Standard Class,CB-12415,FUR-FU-10000719,59.99,7,21.5964,Online
9147,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,TEC-AC-10002926,99.98,2,42.9914,COD
9148,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,OFF-AR-10003477,8.04,6,2.7336,COD
9149,US-2019-165505,23-01-2019,27-01-2019,Standard Class,CB-12535,OFF-ST-10001526,1564.29,13,406.7154,Online
4612,CA-2019-109407,24-01-2019,26-01-2019,Second Class,HG-14965,OFF-BI-10000285,31.36,4,15.68,COD
4327,CA-2019-153346,25-01-2019,27-01-2019,First Class,TB-21355,OFF-AR-10000315,9.21,3,2.3025,COD
4328,CA-2019-153346,25-01-2019,27-01-2019,First Class,TB-21355,OFF-PA-10000007,18.0,5,8.28,Cards
9358,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,OFF-BI-10003676,43.12,5,15.092,Online
9359,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,FUR-TA-10001095,313.722,3,-99.3453,COD
9360,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,FUR-FU-10000747,45.98,1,7.8166,Online
9361,CA-2019-168046,25-01-2019,28-01-2019,Second Class,JD-15895,OFF-ST-10004337,428.68,7,0.0,Online
8613,CA-2019-146437,28-01-2019,01-02-2019,Second Class,HG-14965,OFF-AR-10000588,39.68,2,10.3168,COD
2885,CA-2019-164483,30-01-2019,03-02-2019,Standard Class,JF-15490,OFF-BI-10000014,17.456,2,5.8914,COD
7290,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,OFF-ST-10000675,305.01,9,76.2525,Online
7291,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,OFF-BI-10004781,50.784,2,17.7744,Online
7292,CA-2019-153661,30-01-2019,31-01-2019,First Class,SC-20725,OFF-LA-10004689,26.01,9,12.2247,Online
7565,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,FUR-CH-10001190,435.168,4,-59.8356,COD
7566,US-2019-166660,30-01-2019,01-02-2019,Second Class,TB-21250,FUR-BO-10000468,48.58,1,7.7728,Online
8176,CA-2019-114944,30-01-2019,04-02-2019,Standard Class,HE-14800,OFF-PA-10003892,156.512,4,52.8228,COD
8925,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,TEC-PH-10004241,1439.968,4,143.9968,Online
8926,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,OFF-BI-10000546,1.728,3,-2.6784,Cards
8927,CA-2019-168032,30-01-2019,03-02-2019,Standard Class,DF-13135,FUR-TA-10004256,626.1,3,-538.446,Online
4999,CA-2019-129238,31-01-2019,04-02-2019,Standard Class,SC-20050,TEC-PH-10004120,109.592,1,8.2194,Cards
5000,CA-2019-129238,31-01-2019,04-02-2019,Standard Class,SC-20050,OFF-PA-10002764,56.7,5,27.783,COD
5114,CA-2019-147970,31-01-2019,02-02-2019,Second Class,AB-10150,OFF-PA-10003936,15.552,3,5.4432,Cards
7505,CA-2019-158043,31-01-2019,04-02-2019,Second Class,JK-15325,OFF-EN-10003134,23.36,2,11.68,Cards
8761,CA-2019-159891,31-01-2019,06-02-2019,Standard Class,BF-11170,OFF-BI-10003527,1270.99,1,635.495,Online
8762,CA-2019-159891,31-01-2019,06-02-2019,Standard Class,BF-11170,OFF-EN-10004483,125.36,8,58.9192,Cards
3242,US-2019-140809,01-02-2019,03-02-2019,First Class,CK-12760,OFF-ST-10002214,56.45,5,14.677,COD
8404,CA-2019-154067,01-02-2019,07-02-2019,Standard Class,SM-20950,OFF-PA-10002254,1105.52,4,48.5392,Online
5614,CA-2019-147431,02-02-2019,07-02-2019,Standard Class,AB-10105,OFF-ST-10003994,117.96,2,5.898,COD
8489,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,TEC-MA-10001127,4749.95,5,2799.984,COD
8490,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,OFF-BI-10002557,36.4,8,18.2,COD
8491,CA-2019-158841,02-02-2019,04-02-2019,Second Class,SE-20110,FUR-FU-10001731,18.69,7,7.1022,Online
8513,CA-2019-144645,02-02-2019,08-02-2019,Standard Class,NS-18640,FUR-FU-10003601,73.784,2,-77.4732,COD
5754,CA-2019-118514,03-02-2019,10-02-2019,Standard Class,LC-17050,FUR-CH-10000015,866.4,4,225.264,COD
6043,CA-2019-117912,04-02-2019,08-02-2019,Standard Class,TB-21520,FUR-FU-10002088,14.368,2,3.9512,COD
9068,CA-2019-150077,04-02-2019,10-02-2019,Standard Class,MS-17365,TEC-PH-10002890,90.48,2,23.5248,COD
9521,CA-2019-101189,04-02-2019,09-02-2019,Standard Class,JB-15400,OFF-ST-10004180,93.02,2,3.7208,COD
1383,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-ST-10002344,80.98,1,1.6196,COD
1384,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-PA-10001289,348.84,9,170.9316,Online
1385,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-FA-10000053,9.45,5,0.189,Online
1386,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,FUR-FU-10004091,18.84,3,7.1592,Online
1387,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,FUR-BO-10004015,239.98,2,52.7956,COD
1388,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-EN-10003001,167.96,2,78.9412,COD
1389,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,TEC-PH-10000215,104.85,3,28.3095,COD
1390,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,TEC-PH-10003645,484.83,3,126.0558,COD
1391,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-PA-10000357,122.97,3,60.2553,Online
1392,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-ST-10004804,154.44,3,1.5444,COD
1393,US-2019-108504,05-02-2019,05-02-2019,Same Day,PP-18955,OFF-PA-10003892,342.37,7,160.9139,COD
8142,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,OFF-LA-10003223,14.73,3,7.2177,COD
8143,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,OFF-ST-10004340,186.54,3,50.3658,Online
8144,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,FUR-TA-10001095,557.728,4,6.9716,COD
8145,CA-2019-100993,05-02-2019,10-02-2019,Standard Class,AZ-10750,TEC-PH-10001448,159.968,4,-31.9936,COD
5810,CA-2019-125017,06-02-2019,11-02-2019,Standard Class,KB-16240,FUR-FU-10000723,132.224,4,-18.1808,COD
1729,CA-2019-106894,07-02-2019,07-02-2019,Same Day,CA-12265,TEC-AC-10003063,100.0,4,21.0,COD
1730,CA-2019-106894,07-02-2019,07-02-2019,Same Day,CA-12265,OFF-LA-10001045,7.83,3,3.6018,COD
2696,CA-2019-161662,07-02-2019,09-02-2019,First Class,BE-11410,OFF-PA-10003465,30.352,2,10.6232,Online
9115,CA-2019-135461,07-02-2019,10-02-2019,Second Class,EB-13975,TEC-PH-10004094,623.96,5,38.9975,COD
1828,CA-2019-109344,08-02-2019,11-02-2019,Second Class,CH-12070,TEC-PH-10002624,1127.976,3,126.8973,COD
8383,CA-2019-163048,08-02-2019,15-02-2019,Standard Class,MH-17440,FUR-CH-10001270,241.5,4,0.0,COD
8842,US-2019-112396,09-02-2019,13-02-2019,Standard Class,JR-16210,TEC-AC-10003628,89.97,3,39.5868,COD
8843,US-2019-112396,09-02-2019,13-02-2019,Standard Class,JR-16210,TEC-AC-10004761,31.86,2,11.151,COD
1809,CA-2019-164938,11-02-2019,13-02-2019,First Class,PB-19210,TEC-PH-10004897,69.93,7,0.6993,Online
7194,CA-2019-110492,12-02-2019,14-02-2019,First Class,JS-15880,OFF-ST-10003716,1350.12,6,175.5156,Online
7195,CA-2019-110492,12-02-2019,14-02-2019,First Class,JS-15880,OFF-BI-10003274,15.92,4,7.4824,COD
721,CA-2019-112942,13-02-2019,18-02-2019,Standard Class,RD-19810,OFF-PA-10004092,146.82,3,73.41,Online
7811,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,OFF-PA-10000791,4.77,1,2.1465,COD
7812,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,OFF-AR-10001770,7.98,3,2.0748,COD
7813,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,FUR-TA-10002356,550.431,3,-47.1798,Online
7814,CA-2019-134334,14-02-2019,15-02-2019,First Class,DK-13090,FUR-FU-10003274,10.56,6,4.6464,Online
8172,CA-2019-146150,14-02-2019,19-02-2019,Standard Class,FM-14380,OFF-AR-10002240,264.18,7,68.6868,COD
1243,US-2019-162859,15-02-2019,22-02-2019,Standard Class,PG-18820,OFF-BI-10004519,398.352,3,124.485,COD
1244,US-2019-162859,15-02-2019,22-02-2019,Standard Class,PG-18820,OFF-FA-10000304,8.72,4,3.5752,Online
1821,CA-2019-168956,16-02-2019,20-02-2019,Standard Class,EA-14035,OFF-AP-10004233,92.064,6,-225.5568,Online
